"","ID","f2","f3","fs2","fs3","alpha"
"1",1,-29.9934291144088,803038.444438092,-30.6309646866657,471220.440400224,0.885291450275585
"2",2,-33.9879295880683,345936.729243342,-29.7590088259093,318944.413678944,0.896567885690805
"3",3,-38.2232181847021,352923.761949409,-38.9766648487486,342260.283913407,0.889342381355813
"4",4,-27.8900351433419,712529.349234048,-29.5658725357056,444401.647144817,0.883445684972571
"5",5,-40.8112095063552,349024.677757286,-39.6049371611662,725260.925199948,0.927441258738726
"6",6,-29.5559830328561,331876.135523487,-33.9238468017988,495313.792649824,0.872019649081744
"7",7,-31.8549387444817,348601.428288929,-40.2525483550355,434336.034626253,0.909341376907544
"8",8,-32.8311555027701,307452.399853878,-28.9353921800703,386796.53364202,0.882034741921885
"9",9,-40.0860390644297,430468.233920652,-36.44769950407,771228.028387874,0.925773452417782
"10",10,-37.78323779957,296979.726426285,-42.0116996506266,351217.534065209,0.869017350125255
"11",11,-41.3006636809856,473837.994957343,-39.6381612748839,349694.932137653,0.918662561360152
"12",12,-27.5506890234426,366931.54465815,-28.6104609725811,523922.060220521,0.908040980567127
"13",13,-30.233519215256,292723.11353514,-41.1108121733814,595224.320910238,0.905053719158474
"14",14,-41.2713368418999,592195.150837358,-32.3936827894002,370570.179793593,0.900529220781179
"15",15,-28.7912445456982,443797.381053232,-33.6923279209509,324007.987808418,0.889896517984459
"16",16,-41.6142587694079,525072.748465538,-32.7601018346809,578605.325061474,0.874480787571132
"17",17,-38.951695999112,386008.85356551,-41.8260088770837,669443.849477768,0.885173890045522
"18",18,-43.0404582287446,434270.569868442,-29.6904672704078,592954.510570411,0.906456325410871
"19",19,-41.283025727436,655608.545658905,-41.2590002463609,343054.949429128,0.867843813562043
"20",20,-33.4181588337049,767965.544134937,-34.4443972422406,443778.760287296,0.871264072258571
"21",21,-29.5012651691921,741797.804429419,-40.464344636891,302875.250003953,0.88363967139525
"22",22,-29.1073191022873,339593.340663444,-34.0723730007932,409012.460822314,0.927735777779626
"23",23,-28.1902184304222,406213.622072451,-36.3999756785221,429352.107253578,0.881206359171027
"24",24,-32.4022115185,442649.551298544,-40.8551087453887,655104.370278008,0.866683059309604
"25",25,-39.109546931494,722598.11269816,-35.7778138297573,321890.566188283,0.92103022480653
"26",26,-40.3911996260732,568669.676821232,-28.9508652149625,683329.48464537,0.915209222749962
"27",27,-40.9449204798751,479689.193675965,-27.8856195087358,635439.052309636,0.886889390633453
"28",28,-27.9749632258378,351288.640381079,-34.9855625373237,775580.240413509,0.88056119842229
"29",29,-39.4863712436892,585794.099566285,-35.0633155100197,612825.756581668,0.887500767540557
"30",30,-37.2693558499813,438048.634986561,-32.5968930056132,306008.419078924,0.905790794037796
"31",31,-36.2658555824943,335482.937181853,-37.1241078998409,390075.582372174,0.862207496593721
"32",32,-39.0749547463618,284722.085670345,-30.6935176564157,469339.735071585,0.884344362270901
"33",33,-35.6447674505189,547170.052770488,-41.3202530057393,546971.45935744,0.882747583272137
"34",34,-41.9109421853423,365589.910805691,-42.1146702476665,746644.518577326,0.900765754419016
