run_ID,max_pressure,min_pressure
ID251,114.25,56.945
ID252,122.49,52.425
ID253,141.04,54.48
ID254,125.03,53.892
ID255,132.32,52.398
ID256,143.53,52.343
ID257,122.27,54.29
ID258,137.89,56.375
ID259,137.49,50.994
ID260,118.82,52.298
ID261,133.83,49.449
ID262,127.55,63.23
ID263,136.46,60.602
ID264,140.04,56.581
ID265,120.62,53.641
ID266,130.6,57.874
ID267,122.34,58.302
ID268,146.06,53.132
ID269,121.36,50.948
ID270,136.01,51.743
ID271,134.91,48.551
ID272,140.23,53.485
ID273,124.53,50.233
ID274,133.64,49.797
ID275,128.74,57.835
ID276,125.97,51.379
ID277,131.93,49.103
ID278,126.17,49.821
ID279,124.12,63.428
ID280,140.31,56.745
ID281,132.29,58.944
ID282,141.24,55.137
ID283,121.22,61.607
ID284,124.48,50.635
ID285,126.43,51.345
ID286,125.78,50.3
ID287,138.91,50.381
ID288,123.56,61.132
ID289,126.82,51.661
ID290,131.77,48.385
ID291,130.69,52.128
ID292,136.01,51.625
ID293,118.56,57.612
ID294,138.95,51.356
ID295,143.73,54.249
ID296,132.07,57.313
ID297,140.14,49.37
ID298,121.88,52.968
ID299,128.97,49.643
ID300,128.92,51.459
ID301,134.12,48.786
ID302,124.89,54.485
ID303,140.17,53.699
ID304,128.56,65.756
ID305,139.01,49.321
ID306,137.88,49.352
ID307,133.52,51.851
ID308,132.89,51.691
ID309,127.76,59.537
ID310,144.04,52.179
ID311,128.28,50.842
ID312,117.23,55.321
ID313,136.42,54.548
ID314,137.54,50.795
ID315,127.18,50.199
ID316,142.14,50.343
ID317,145.21,52.715
ID318,137.5,55.704
ID319,123.47,57.037
ID320,129.34,58.329
ID321,137.9,48.945
ID322,137.4,55.309
ID323,118.66,52.624
ID324,134.6,57.059
ID325,135.48,50.809
ID326,141.44,56.271
ID327,116.71,57.724
ID328,134.04,50.736
ID329,136.89,56.324
ID330,134.15,51.198
ID331,119.41,52.983
ID332,129.86,53.461
ID333,133.95,49.273
ID334,128.85,54.211
ID335,132.37,57.229
ID336,121.13,55.713
ID337,129.98,56.537
ID338,127.54,49.583
ID339,125.27,49.94
ID340,120.65,52.702
ID341,144.16,56.845
ID342,138.54,51.387
ID343,123.35,51.266
ID344,122.69,49.973
ID345,137.58,50.669
ID346,141.21,52.862
ID347,127.53,49.681
ID348,142.34,49.417
ID349,140.98,55.244
ID350,136.51,48.62
ID351,139.39,51.229
ID352,125.94,56.188
ID353,113.68,55.599
ID354,131.95,61.894
ID355,137.97,57.498
ID356,124.52,49.895
ID357,132.21,49.236
ID358,120.97,52.648
ID359,130.21,50.908
ID360,126.42,50.125
ID361,128.41,51.774
ID362,124.56,51.225
ID363,120.09,51.346
ID364,144.9,51.556
ID365,127.38,50.625
ID366,140.34,55.504
ID367,138.63,54.356
ID368,124.75,51.57
ID369,127.05,49.706
ID370,131.54,53.816
ID371,123.18,49.867
ID372,140.43,52.594
ID373,134.16,52.29
ID374,145.74,53.015
ID375,115.71,56.229
ID376,137.52,49.128
ID377,123.46,61.9
ID378,132.36,61.511
ID379,121.98,51.129
ID380,120.24,54.149
ID381,138.58,59.123
ID382,139.72,52.884
ID383,126.26,61.683
ID384,143.52,54.603
ID385,130.63,49.699
ID386,127.91,50.104
ID387,143.86,52.82
ID388,134.79,48.56
ID389,130.67,50.645
ID390,145.85,51.169
ID391,141.21,52.786
ID392,128.51,64.169
ID393,138.29,49.795
ID394,135.15,49.768
ID395,126.1,51.824
ID396,128.8,50
ID397,126.67,50.169
ID398,125.58,50.865
ID399,121.77,54.373
ID400,137.67,52.458
ID401,121.52,58.389
ID402,132.5,62.848
ID403,120.12,51.595
ID404,128.44,50.561
ID405,137.27,58.604
ID406,134.68,52.905
ID407,131.78,57.034
ID408,131,64.832
ID409,131.23,62.802
ID410,132.65,52.189
ID411,126.63,49.372
ID412,127.83,53.935
ID413,145.68,52.57
ID414,136.31,50.347
ID415,139.44,56.098
ID416,136.76,50.728
ID417,128.53,50.747
ID418,116.18,53.579
ID419,123.85,50.744
ID420,135.93,60.003
ID421,121.2,50.6
ID422,137.41,58.414
ID423,128.22,50.189
ID424,124.6,63.606
ID425,119.48,52.225
ID426,122.28,65.977
ID427,138.14,53.052
ID428,132.55,59
ID429,139.6,49.076
ID430,137.28,50.823
ID431,131.74,50.829
ID432,119.62,54.059
ID433,137.26,54.732
ID434,126.37,49.558
ID435,121.41,57.474
ID436,136.86,50.82
ID437,133.6,57.558
ID438,145.65,53.948
ID439,128.94,49.857
ID440,133.05,49.206
ID441,129.56,53.164
ID442,120.41,63.577
ID443,131.39,48.815
ID444,129.79,49.151
ID445,127.69,56.384
ID446,130.3,50.348
ID447,129.08,50.736
ID448,137.87,51.672
ID449,140.48,53.159
ID450,125.22,60.188
ID451,122.85,56.067
ID452,117.72,55.998
ID453,130.2,50.781
ID454,137.91,50.185
ID455,135.63,50.95
ID456,120.44,50.835
ID457,138.61,49.212
ID458,135.32,52.937
ID459,138.88,57.426
ID460,121.76,50.119
ID461,137.11,54.656
ID462,134.86,48.801
ID463,127.23,49.519
ID464,124.51,60.145
ID465,123.72,51.48
ID466,119.68,62.477
ID467,131.62,52.284
ID468,137.56,50.261
ID469,138.05,55.304
ID470,138.15,55.578
ID471,133.19,51.382
ID472,114.3,54.752
ID473,135.48,52.395
ID474,134.64,56.915
ID475,140.49,52.702
ID476,133.45,63.598
ID477,143.17,52.129
ID478,115.21,54.277
ID479,139.64,50.81
ID480,123.35,51.052
ID481,129.8,49.952
ID482,124.56,49.344
ID483,129.71,49.141
ID484,129.43,51.394
ID485,145.64,53.854
ID486,128.25,52.939
ID487,131.41,52.391
ID488,144.39,53.495
ID489,121.73,51.488
ID490,123.22,52.151
ID491,132.02,62.267
ID492,138.59,49.21
ID493,132.24,61.598
ID494,139.95,49.841
ID495,119.25,56.563
ID496,145.01,52.348
ID497,124.08,56.568
ID498,140.84,57.619
ID499,141.42,50.293
ID500,124.13,50.296
