"run_ID","max_pressure","min_pressure"
"ID501",123.701412464,56.6171181248
"ID502",131.1875933606,49.2505698223
"ID503",115.7728512136,58.5701204366
"ID504",125.6151812503,49.7057283939
"ID505",129.5974153686,50.3966390804
"ID506",121.9464492538,64.8279465867
"ID507",134.4651780748,56.2945242294
"ID508",133.5852666214,57.9750855836
"ID509",130.2072449203,65.1341628936
"ID510",128.4700492673,49.6893847247
"ID511",122.8059540678,55.7051731483
"ID512",131.2475344172,50.8556027494
"ID513",133.316365648,49.8378440877
"ID514",131.912930885,53.0338554872
"ID515",125.5545540712,59.1973430434
"ID516",130.8868352175,53.7274698577
"ID517",143.3766934003,52.7461246681
"ID518",136.1696023041,57.2890844563
"ID519",127.0183657134,52.0049878164
"ID520",135.061224841,52.3313678282
"ID521",142.842786343,56.8127490529
"ID522",120.1482844676,52.0068229256
"ID523",142.6018877814,55.4328027249
"ID524",136.4667408095,49.9308610105
"ID525",125.3491814606,49.6164064551
"ID526",119.0248750918,55.3927990971
"ID527",125.359498093,51.0358228247
"ID528",131.7017836475,49.0430210423
"ID529",141.133859401,55.7397675933
"ID530",148.5314749924,51.1014809619
"ID531",141.0645945093,53.0154584652
"ID532",121.893915738,50.5073443114
"ID533",121.0924084245,51.334868006
"ID534",126.4347176741,50.4277514555
"ID535",133.1650062563,59.8676380467
"ID536",125.7915374343,56.7199590992
"ID537",118.3052858358,52.4977697948
"ID538",132.2399164364,63.6251423239
"ID539",139.961755663,52.3892198562
"ID540",140.8729652476,52.0215390556
"ID541",120.5118290677,53.2330809029
"ID542",125.4956789307,65.7583672177
"ID543",132.8538686378,60.9150583237
"ID544",134.928249923,49.9460102696
"ID545",123.3596357828,50.6567865755
"ID546",144.6459157189,50.6454585558
"ID547",124.1269446901,53.1826305721
"ID548",143.8581642496,54.073962604
"ID549",144.6354454606,53.3735585381
"ID550",125.8505301152,50.256911507
"ID551",139.8561966924,49.8634901757
"ID552",137.6698966235,49.3801283384
"ID553",142.7072909957,54.9035205964
"ID554",133.0279065138,58.2992751961
"ID555",132.1521548086,54.2590012574
"ID556",110.8978674577,57.1205974718
"ID557",133.4258010046,49.3765077488
"ID558",130.0527180594,63.2274558436
"ID559",138.4831070481,49.7833634082
"ID560",137.5300022743,49.7718665585
"ID561",125.6116150068,63.9640893029
"ID562",133.6670056895,48.9103054707
"ID563",125.8188416178,49.9332644373
"ID564",133.8595326185,51.8441706153
"ID565",141.1130893445,52.3493111737
"ID566",115.2344026269,58.915351429
"ID567",122.5822335093,51.3580554569
"ID568",126.0773178464,61.088312496
"ID569",132.1437969012,51.7346775096
"ID570",117.9386418466,63.8243053657
"ID571",134.7948786365,53.8861174572
"ID572",130.9230169379,50.9284268107
"ID573",121.0243845247,51.4502419456
"ID574",120.3174178252,50.7651524229
"ID575",125.5117898281,50.4765263269
"ID576",118.7274766649,60.7492130594
"ID577",134.9694637517,61.1220238006
"ID578",124.8323353326,51.8866289636
"ID579",129.815593466,62.628362078
"ID580",126.7506909391,64.1219426717
"ID581",125.9453299541,51.6152844366
"ID582",129.4083277785,48.8970071704
"ID583",123.1848077172,63.6177379182
"ID584",131.9224179672,51.8435460562
"ID585",122.5665076025,51.1705288557
"ID586",133.6384900526,50.065208757
"ID587",126.4286878074,56.2341318826
"ID588",113.9496587269,57.2701364211
"ID589",127.4592628814,50.0156153152
"ID590",141.0728570634,56.5192520118
"ID591",128.1795088396,63.5221475346
"ID592",136.6079062377,51.278367218
"ID593",142.2541876366,51.5226235548
"ID594",129.9436993448,55.1099178759
"ID595",125.3671766181,56.1707347077
"ID596",119.7507722811,57.1898869039
"ID597",136.917748562,49.3753542117
"ID598",120.578763094,52.6220532076
"ID599",120.8176501583,52.6329731863
"ID600",137.5092612427,48.9488090704
"ID601",116.5852340295,58.9639935976
"ID602",126.2586911121,49.8568079731
"ID603",127.6629040803,50.3161475957
"ID604",121.5770114089,50.4527915665
"ID605",131.5537526141,50.9909850673
"ID606",128.8302121841,50.0655259649
"ID607",133.5254331939,52.6310594942
"ID608",136.0952996507,49.0305667076
"ID609",134.1600751241,51.8972101201
"ID610",142.2710686345,54.6367765298
"ID611",126.5138628899,63.1239782373
"ID612",124.4096126015,50.3582365175
"ID613",119.2993469481,51.2548000963
"ID614",128.9200835565,49.915342207
"ID615",137.6037054893,50.5950847582
"ID616",125.4488652517,52.4856046046
"ID617",124.8040447105,59.8488950465
"ID618",139.4366944893,53.5714058925
"ID619",127.7323973597,51.7071657611
"ID620",124.7472776222,50.8367739455
"ID621",124.261524844,56.7822076948
"ID622",132.2749456827,49.2622823839
"ID623",136.9958201823,53.8775739496
"ID624",126.5650190601,63.2521850113
"ID625",138.2251573681,51.7584612538
"ID626",140.9930135443,56.3242679051
"ID627",135.8886189887,50.4618179372
"ID628",135.7634299188,56.2760544691
"ID629",124.7741320704,60.1731921616
"ID630",139.2351417055,51.4857835661
"ID631",145.4301126867,53.8687627353
"ID632",140.2102341281,52.64678276
"ID633",132.3510274554,55.8360700214
"ID634",131.5811734142,53.0118139133
"ID635",128.2981089286,58.4542057612
"ID636",128.0097840788,50.0110742173
"ID637",120.7462234204,50.9160975334
"ID638",136.5918511793,50.5129351905
"ID639",123.5760432399,58.7099947177
"ID640",134.5263641187,53.1288766185
"ID641",127.9753207805,50.7593860008
"ID642",130.7531648056,60.1005113828
"ID643",123.0067546101,62.4276485462
"ID644",130.8163484435,48.7884050408
"ID645",117.091152867,62.1881836722
"ID646",135.6034276313,59.5014797484
"ID647",138.9467169312,58.2370122196
"ID648",141.0265738361,57.0168875946
"ID649",122.888051836,63.8111381158
"ID650",133.7680169422,48.6823618854
"ID651",127.8006235793,49.807612621
"ID652",131.2744263665,59.7392805168
"ID653",132.7642862282,52.6669374696
"ID654",137.4918197867,54.3897441487
"ID655",125.1377748086,51.3347600139
"ID656",128.7993241764,60.505440034
"ID657",133.0854073317,57.0971268918
"ID658",135.463222092,49.5290113376
"ID659",125.8098518137,50.9297783015
"ID660",147.6588484283,52.5250043262
"ID661",124.7951538743,51.8885100959
"ID662",117.6695992989,57.5629114604
"ID663",134.1696782792,48.7651264857
"ID664",120.5603755106,51.3799286783
"ID665",120.2139854735,53.2291720644
"ID666",135.3945366925,49.4456007566
"ID667",113.4772635213,59.1713144402
