ID,max_flow,min_flow
ID751,145.9652604533,51.7012931254
ID752,138.2893060709,57.5091258942
ID753,119.8761596527,52.080734048
ID754,148.7105151273,52.454698369
ID755,132.1498818384,52.2506860289
ID756,133.3210695174,51.9601279078
ID757,134.0705198116,60.9954330866
ID758,121.8102996319,51.1330116104
ID759,133.3765728967,53.8019525703
ID760,139.6315977527,54.8655106899
ID761,139.8278118491,49.4862200898
ID762,122.4601885574,51.5823469984
ID763,133.0840161934,48.6197440747
ID764,128.025874424,60.149945145
ID765,124.6422099652,63.2073047223
ID766,125.8452489986,50.523397552
ID767,141.5239178366,57.6709298376
ID768,121.0577691896,52.8385495967
ID769,129.4334625242,49.8981716555
ID770,118.0629757103,52.7897192271
ID771,135.6898764558,51.301503502
ID772,133.640070839,59.9729325593
ID773,120.5646908008,63.9844778957
ID774,138.5890600449,56.4882190612
ID775,131.607203099,52.8196311669
ID776,137.1862988983,48.8707349899
ID777,133.5523112346,62.5843742334
ID778,124.7046520279,54.7231429699
ID779,144.3520073709,54.8453975756
ID780,129.5288622836,56.2810709142
ID781,138.7425040156,50.0483696795
ID782,136.5288313455,50.7336514301
ID783,122.482511381,64.4613416141
ID784,140.7892199315,59.3077902939
ID785,134.4330466412,48.1973394705
ID786,146.3366161772,52.7798488284
ID787,125.3978270166,50.6285829541
ID788,122.0108524787,59.0630435399
ID789,122.95211068,51.329331562
ID790,142.2102233045,56.0649108949
ID791,126.6883175822,58.9080349096
ID792,136.6472933021,59.8352992662
ID793,134.5328488162,52.3021459648
ID794,121.8036104784,51.8553396096
ID795,148.0741210689,53.1150148007
ID796,143.9628100567,50.4790009102
ID797,117.1869717675,52.5234415811
ID798,127.7365058042,60.341273071
ID799,140.9667504219,52.5801383215
ID800,136.3564879886,49.3906017773
ID801,133.4641918739,60.5746702608
ID802,121.9188108227,51.1431537193
ID803,134.4200164979,54.2885586757
ID804,115.4320935651,53.9777997331
ID805,136.2033996156,50.0598248483
ID806,144.0374349991,53.0081905714
ID807,132.4199091578,53.424746327
ID808,115.8397083137,65.417277082
ID809,125.9229460456,49.4585804774
ID810,118.6876807461,52.4010641187
ID811,131.9116927294,53.8509257413
ID812,137.4754877261,52.1900199957
ID813,132.1934163937,63.6037230053
ID814,130.8279161716,50.0940527283
ID815,124.1308214404,53.2811274139
ID816,127.318927299,51.68850398
ID817,127.4845025709,50.817242668
ID818,147.9004994075,51.5399319015
ID819,123.8760425389,49.908933026
ID820,139.9082775195,53.6394711753
ID821,129.7997258632,49.0307327945
ID822,123.6764701323,50.2376282048
ID823,119.794839006,65.3818284016
ID824,121.606170164,51.6276677249
ID825,120.3847475476,53.7429182209
ID826,143.7496250367,53.7244792336
ID827,131.281036936,49.5719979862
ID828,123.9299371221,63.7487970218
ID829,135.3132576865,50.8258988863
ID830,120.6245011674,51.9232333127
ID831,119.1553911852,52.4715340393
ID832,127.2612406209,52.7710092261
ID833,128.8246485585,64.9701550536
ID834,141.1231848123,53.0235693478
ID835,125.4485805678,51.153183248
ID836,129.072263719,59.7807863736
ID837,125.4404464295,53.2711976942
ID838,139.9081658537,57.7442758073
