ID1,ID2,ID3,ID4,ID5,ID6,ID7,ID8,ID9,ID10,ID11,ID12,ID13,ID14,ID15,ID16,ID17,ID18,ID19,ID20,ID21,ID22,ID23,ID24,ID25,ID26,ID27,ID28,ID29,ID30,ID31,ID32,ID33,ID34,ID35,ID36,ID37,ID38,ID39,ID40
-6.7586611197,-4.0148463474,-3.3876088303,-4.6658666444,-5.0545849836,-4.3964231844,-3.9718562762,-6.9065791503,-3.9017200043,-5.1141105777,-4.0997870767,-5.1565078579,-5.0117349576,-4.4912901539,-5.5896685708,-4.9017518703,-3.7155410636,-3.9456866533,-4.8560076943,-4.8074590002,-6.8073072727,-2.7128830052,-3.3693030968,-3.1298017218,-4.2853716339,-4.4696953822,-5.4236519762,-6.5949296805,-4.4288457493,-5.8837879647,-3.6348769765,-5.5267432419,-3.3454755798,-5.0967433798,-4.0704291455,-5.4408965203,-5.5823197168,-4.6793014093,-6.4084022404,-4.409576597
-6.3976370528,-3.6183405451,-2.9923476483,-4.1762681764,-4.5881697826,-3.9535445584,-3.6165152915,-6.6189927912,-3.4536059217,-4.6997318594,-3.6994197068,-4.7299558905,-4.6946260478,-3.9948471268,-5.0760831486,-4.5097699136,-3.3376003417,-3.4601705869,-4.4312192389,-4.2666601806,-6.4372414668,-2.1817681408,-3.0028739782,-2.5715494599,-3.9574403865,-4.0611095507,-5.1125591149,-6.3599476839,-3.8918944424,-5.4763363032,-3.272536907,-5.0972468147,-2.9515817556,-4.6555352698,-3.6090164898,-5.0087308765,-5.0960982048,-4.3765786668,-6.1834668052,-3.9705615957
-6.0099395075,-3.1961443672,-2.5713866339,-3.6588930773,-4.0956887125,-3.487170842,-3.2370709957,-6.3070149325,-2.9794798006,-4.2632862618,-3.2753901961,-4.2764765736,-4.3560647056,-3.4735631249,-4.5348494926,-4.0937089429,-2.933921758,-2.9514249085,-3.9813721289,-3.6995390263,-6.0393836035,-1.6266409066,-2.6081589635,-1.9877385089,-3.6056255362,-3.6283715762,-4.7840711015,-6.1030225693,-3.3281481752,-5.0427295341,-2.8927520824,-4.6410416232,-2.5311964156,-4.1884460637,-3.1209409358,-4.5487841352,-4.5809217862,-4.054647115,-5.9338136579,-3.5066020555
-5.5961450516,-2.7488607399,-2.1252254169,-3.1149079854,-3.5781983669,-2.9981720614,-2.8337102104,-5.9705072465,-2.4798577452,-3.8050546281,-2.8280186111,-3.7967224084,-3.9959382673,-2.9277652324,-3.9669128735,-3.6537415275,-2.5047774391,-2.4197561865,-3.5070169322,-3.106848921,-5.6141703562,-1.047994292,-2.1857046307,-1.3793082416,-3.2296243488,-3.1718815259,-4.4378472376,-5.8238493671,-2.7383316842,-4.5833671564,-2.4955195688,-4.1588773826,-2.0847364119,-3.6964004058,-2.6070288839,-4.0613641973,-4.0373989867,-3.7131785046,-5.6591180751,-3.0183690997
-5.1563977641,-2.2769377397,-1.6544229681,-2.5448006878,-3.0361557231,-2.4869102301,-2.4068991086,-5.6092600151,-1.9556649891,-3.3256194052,-2.3579697942,-3.2910504802,-3.61473388,-2.3583586336,-3.3732281366,-3.1906999047,-2.0506969434,-1.8659018194,-3.0091146309,-2.4897702007,-5.1619429908,-0.4468215941,-1.7359314655,-0.7475099008,-2.8298361446999998,-2.6922625652,-4.0736855837,-5.5222850571,-2.1237549195,-4.0989338434,-2.081006799,-3.6510006756,-1.6129040968,-3.1795770227,-2.0678467777,-3.5473457543,-3.4666419597,-3.3522998702,-5.3590788879,-2.5066068912
-4.6912627994,-1.7814831373,-1.1599952713,-1.9497470483,-2.4704498324,-1.9540991267,-1.9571918606,-5.2237335465,-1.4077022217,-2.8258522796,-1.8658530149,-2.760362673,-3.2125812741,-1.7661780381,-2.7548157265,-2.7048803663,-1.5723405151,-1.2907471872,-2.4881074665,-1.8493209117,-4.6833435281,0.1758647059,-1.2595248036,-0.0935133628,-2.406275972,-2.1902774859,-3.6916328091,-5.1983593939,-1.4856855815,-3.589842694,-1.6495820065,-3.1182789408,-1.116586663,-2.6386975416,-1.5045258338,-3.0073728959,-2.8697247636,-2.9720406991,-5.0334662353,-1.9722275986
-4.2015052502,-1.2630963661,-0.6425174073,-1.3302530115,-1.8807901405,-1.3987165,-1.485560226,-4.8138827391,-0.8368478812,-2.3063567871,-1.3526024517,-2.2051925643,-2.7899807727,-1.140018373,-2.109641557,-2.1969772434,-1.0707919283,-0.6857224922,-1.9451394664,-1.1715532418,-4.1791841695,0.8307240089,-0.7573864814,0.5861012317,-1.9593480734,-1.6667824175,-3.2917811438,-4.8521978387,-0.8179352612,-3.0570757374,-1.2015203803,-2.561064771,-0.5964240064,-2.0736411207,-0.9178148901,-2.4423039162,-2.2419077164,-2.5726199234,-4.6822024779,-1.4159380744
-3.6878830963,-0.7227412887,-0.1030500077,-0.6714317608,-1.2498436911,-0.8031228702,-0.9925041635,-4.3802794577,-0.2403965428,-1.7683136239,-0.8186427279,-1.6157584096,-2.3477316035,-0.4985925785,-1.423022844,-1.6656343908,-0.5466259433,-0.0583977314,-1.3800027384,-0.4875146612,-3.6501389638,1.5007096337,-0.2305455165,1.3008271383,-1.4898115258,-1.1223849135,-2.8743314951,-4.4839676618,-0.1217017727,-2.5006342527,-0.7375425878,-1.9674769489,-0.0535433888,-1.4675731646,-0.2992020578,-1.8498201955,-1.578227841,-2.1543946174,-4.3053585461,-0.8324547472
-3.1513280166,-0.1570768069,0.4601706805,-0.0094851409,-0.6246157019,-0.2164265924,-0.4787919136,-3.9234537557,0.3941268965,-1.2114989673,-0.2563989304,-1.004524094,-1.8863709514,0.1543492981,-0.7432257123,-1.0958381673,-6.027575e-4,0.5742877073,-0.7793138932,0.2117323563,-3.0973267969,2.1798805672,0.3201296377,2.0093035179,-0.9981250375,-0.5509825296,-2.4398472174,-4.094116778,0.5764624437,-1.9088972372,-0.2580888846,-1.3586535804,0.5131420724,-0.8628603147,0.3430196047,-1.2163208528,-0.9133222661,-1.7177925112,-3.9032819026,-0.216631539
-2.5912295054,0.4439440399,1.059337787,0.6723690927,0.0224146891,0.3905815377,0.0606815573,-3.4440131858,1.0193973472,-0.6263579219,0.3308856259,-0.3835182714,-1.4066293632,0.8248829964,-0.0443293717,-0.5319546564,0.5732216418,1.2214268016,-0.1743853433,0.9307852309,-2.518592093,2.8745508047,0.8938019361,2.7316498013,-0.4850110253,0.049550390800000003,-1.988429442,-3.6831431195,1.2885328707,-1.3031206315,0.2360185318,-0.7346813187,1.1159357728,-0.2358034138,0.9904683774,-0.5900063528,-0.2311461411,-1.2634748553,-3.4760731512,0.3936620056
-1.9985553471,1.0360155834,1.6544462095,1.3695834141,0.6896854024,1.019055418,0.6305407189,-2.9425436245,1.6671793639,-0.0267083694,0.9142294087,0.2519566627,-0.9062680084,1.5150242283,0.6793284615,0.0562435281,1.1766039511,1.8893743292,0.448162225,1.6649104295,-1.9037995218,3.5873077819,1.4963680976,3.4749637777,0.0512747547,0.6422407719,-1.5210855445,-3.2516369692,2.0209626751,-0.6846800317,0.743825631,-0.0959756285,1.719988613,0.4105170662,1.6511170029,0.0618727564,0.4753732396,-0.7918441108,-3.0233935081,1.0208131232
-1.388365808,1.6545947912,2.2734555854,2.0851714371,1.3728058218,1.6619198368,1.1910698259,-2.4173874763,2.3339147849,0.5716092817,1.5142001532,0.9126015665,-0.3767339767,2.2222801854,1.4162055526,0.65827715,1.7715420569,2.5741718733,1.0798574114,2.4131605354,-1.2858525692,4.3155188141,2.1277252713,4.2290936992,0.6192975478,1.2553306126,-1.0382067025,-2.799812735,2.7678486533,-0.0543757527,1.2649515668,0.566701552,2.3444816541,1.0756001246,2.3354853246,0.7335737476,1.1980861424,-0.3020386197,-2.5382583687,1.670992517
-0.7767479765,2.2843064613,2.8996262273,2.815973899,2.0721618726,2.3205126696,1.7792022179,-1.861114616,3.0156443345,1.1835193728,2.1343671444,1.5882587488,0.1566891127,2.9437854659,2.1683863502,1.2793034378,2.3940907151,3.2736224927,1.7336101247,3.173914421,-0.6478699688,5.0560796027,2.752408559,4.9956671008,1.1975287733,1.886110404,-0.5400841316,-2.3255663348,3.5279501945,0.6008233211,1.8002971827,1.245762135,2.9765593066,1.7589023094,3.0324497939,1.4229212254,1.9374695923,0.2129044587,-2.0235061672,2.3341660488
-0.1418194475,2.9326641983,3.546541768,3.5604857159,2.7850529707,2.992656631,2.374332745,-1.2894295252,3.7118739315,1.812626222,2.7679400624,2.2804538842,0.6964286765,3.6793932129,2.9339595753,1.9141846795,3.0266625365,3.9867001223,2.3992473857,3.9458685288,-3.2522e-5,5.8086796809,3.4067852119,5.7723023246,1.7811281528,2.5313828722,-0.024767673,-1.8225346671,4.2985275483,1.2697812312,2.3561160641,1.9421446132,3.6309952428,2.4583360197,3.7436900356,2.1283914038,2.6906602183,0.7447577426,-1.5096218093,3.0126231286
0.5087995555,3.5918457702,4.204420947,4.316476433,3.5106685431,3.6781336158,2.9881361409,-0.7174259531,4.4208921854,2.4543253552,3.4147713214,2.9872383677,1.2515816751,4.4285358657,3.7111060546,2.5632445417,3.6771149209,4.7132350422,3.0792986377,4.7287233823,0.672242826,6.5727010606,4.065518776,6.5567938793,2.3866204265,3.1885847681,0.513127688,-1.306895875,5.0785220982,1.9553402739,2.9219932877,2.6538929037,4.2977881704,3.1726241594,4.4671467558,2.8484388861,3.4556375682,1.2691283322,-0.961472251,3.7039903813
