run_ID,max_flow,min_flow
ID1,131.0826407003,61.6740687371
ID2,128.5285152498,50.3238462103
ID3,123.9530786128,50.3588151763
ID4,129.7508419458,49.3075787624
ID5,135.6353085971,49.2042589527
ID6,142.3367704035,52.8191255201
ID7,125.0673683258,53.0976508769
ID8,123.0164710266,61.2235935764
ID9,125.2753309554,49.8963252365
ID10,134.1461346141,61.4098493052
ID11,136.7051633173,52.7972987733
ID12,141.2234048867,52.8555160169
ID13,124.4183290815,59.7673168405
ID14,136.547156255,50.333935759
ID15,138.2772623207,50.0857519014
ID16,142.4715728037,55.1500309898
ID17,123.6365619314,50.9794785067
ID18,136.1714387682,51.9686077003
ID19,133.9431977689,52.5167198324
ID20,136.4330370546,48.9745022888
ID21,132.5467832002,59.2219865753
ID22,124.1481822697,51.637192915200004
ID23,116.9947471819,52.297943014
ID24,123.024542324,51.2919622334
ID25,121.8796304557,54.2626920489
ID26,134.0539026886,50.0307006574
ID27,108.7444550726,59.8144096169
ID28,120.3121758702,65.0204641338
ID29,131.8939402233,49.2502580537
ID30,138.6699472509,56.1876632612
ID31,120.4568279073,64.5188848556
ID32,143.1322605336,55.481583496
ID33,119.7719520599,50.9832950358
ID34,141.8483757636,56.2250164866
ID35,127.2421744164,49.2230677523
ID36,132.0261935142,49.2635339978
ID37,147.8384065897,52.6870211731
ID38,125.5941186099,63.0381086057
ID39,130.0152065225,57.6460667265
ID40,130.2154277728,50.2611300182
